id,place_name,category_name,category_group_code,category_group_name,phone,address_name,road_address_name,x,y,place_url,distance,wheelchair,animal,keyword,rate_count,rate
10166255,경희궁,"여행 > 관광,명소 > 문화유적 > 고궁,궁",AT4,관광명소,02-724-0274,서울 종로구 신문로2가 2-1,서울 종로구 새문안로 45,126.968649079046,37.5707881525953,http://place.map.kakao.com/10166255,,unknown,unknown,,27,4.2
26563929,서울도보관광코스 경희궁~서대문,"여행 > 관광,명소 > 도보여행",AT4,관광명소,,서울 종로구 홍파동,,126.96500829195033,37.57161244120385,http://place.map.kakao.com/26563929,,unknown,unknown,#걷기좋은 ,0,0
12735945,경희궁 숭정전,"여행 > 관광,명소 > 문화유적 > 고궁,궁",AT4,관광명소,,서울 종로구 신문로2가 2-1,서울 종로구 새문안로 45,126.968078319249,37.5713718445455,http://place.map.kakao.com/12735945,,unknown,unknown,,1,5.0
12576869,무교동낙지거리,"여행 > 관광,명소 > 테마거리 > 먹자골목",AT4,관광명소,,서울 종로구 청진동,,126.979307427609,37.5716554573034,http://place.map.kakao.com/12576869,,unknown,unknown,,0,0
27215154,다이나믹메이즈 서울인사동점,"여행 > 관광,명소 > 테마파크",AT4,관광명소,02-2034-0600,서울 종로구 인사동 43,서울 종로구 인사동길 12,126.98714973498456,37.57189803811425,http://place.map.kakao.com/27215154,,unknown,unknown,,7,4.1
1859752981,서울명예도로 송해길,"여행 > 관광,명소 > 도보여행",AT4,관광명소,,서울 종로구 낙원동 146-2,,126.9891692313422,37.5716243381392,http://place.map.kakao.com/1859752981,,unknown,unknown,#걷기좋은 ,0,0
66105607,태화관길,"여행 > 관광,명소 > 테마거리",AT4,관광명소,,서울 종로구 관훈동 198-32,서울 종로구 인사동5길 14,126.985374618697,37.5727560293372,http://place.map.kakao.com/66105607,,unknown,unknown,,0,0
26558551,동네골목길관광코스 9코스(종로1.2.3.4가),"여행 > 관광,명소 > 도보여행",AT4,관광명소,,서울 종로구 인사동,,126.98641152397016,37.57277011866525,http://place.map.kakao.com/26558551,,unknown,unknown,#걷기좋은 ,0,0
133553180,락희거리,"여행 > 관광,명소 > 테마거리",AT4,관광명소,,서울 종로구 낙원동 289-7,,126.988277140357,37.5722117017437,http://place.map.kakao.com/133553180,,unknown,unknown,,4,3.5
8053121,인사동거리,"여행 > 관광,명소 > 테마거리",AT4,관광명소,,서울 종로구 관훈동,,126.98561901337,37.5733610774662,http://place.map.kakao.com/8053121,,unknown,unknown,,22,3.5
